Day,Session,Sets,Type,R2,Click
8/8/2022,1809,1,Obs,0.62,0.86
8/8/2022,1809,2,Ortho,NA,NA
8/8/2022,1809,3,Obs,0.68,0.89
8/8/2022,1809,4,Ortho,0.64,0.53
8/8/2022,1809,5,FBC,,
8/8/2022,1809,6,Obs,0.72,0.93
8/10/2022,1811,1,Obs,0.54,0.95
8/10/2022,1811,2,Ortho,0.65,0.64
8/10/2022,1811,3,FBC,,
8/10/2022,1811,4,Obs,0.67,0.97
8/25/2022,1816,1,Obs,0.7,0.76
8/25/2022,1816,2,Ortho,NA,NA
8/25/2022,1816,3,Obs,0.67,0.9
8/25/2022,1816,4,Ortho,0.41,0.84
8/25/2022,1816,5,FBC,,
8/25/2022,1816,6,Obs,0.63,0.96
9/1/2022,1820,1,Obs,0.6,0.98
9/1/2022,1820,2,Ortho,0.67,0.95
9/1/2022,1820,3,FBC,,
9/1/2022,1820,"4,8,9,10",Unst,,
9/1/2022,1821,1,Obs,0.5,0.88
9/5/2022,1823,1,Obs,0.66,0.93
9/5/2022,1823,2,Ortho,0.53,0.96
9/5/2022,1823,"3,4",FBC,,
9/5/2022,1824,"1,2,3,4,5,6,7,8",Unst,,
9/8/2022,1827,1,Obs,0.64,0.81
9/8/2022,1827,2,Ortho,0.53,0.96
9/8/2022,1827,3,FBC,,
9/8/2022,1828,1,Unst,,
9/8/2022,1828,2,Obs,NR,NR
9/12/2022,1835,1,Obs,0.56,0.71
9/12/2022,1835,2,Ortho,0.41,0.77
9/12/2022,1835,3,FBC,,
9/22/2022,1836,1,Obs,0.62,0.94
9/22/2022,1836,2,Ortho,0.63,0.96
9/22/2022,1836,3,FBC,,
9/22/2022,1836,4,Obs,0.57,0.86
10/3/2022,1845,1,Obs,0.67,0.99
10/3/2022,1847,"1,2,3,4,5,6,7,8",FBC,,
10/3/2022,1848,1,Obs,0.6,NR
10/3/2022,1848,3,Ortho,0.4,NR
10/3/2022,1848,"4,5,6,7,8,9",Unst,,
10/3/2022,1848,10,Obs,0.52,NR
10/3/2022,1848,12,Obs,0.76,NR
10/6/2022,1849,1,Obs,"0.66,0.7",0.98
10/6/2022,1849,2,Ortho,"0.69,0.3",0.96
10/6/2022,1849,5,FBC,,
10/6/2022,1849,11,Obs,0.62,NR
10/6/2022,1849,12,Ortho,0.39,0.98
10/6/2022,1849,13,FBC,,
10/6/2022,1849,16,Unst,,
10/6/2022,1849,18,Obs,"0.71,0.66",0.89
10/6/2022,1849,19,Ortho,,
10/10/2022,1851,1,Obs,"0.42,0.57",0.64
10/10/2022,1851,2,Ortho,,
10/20/2022,1858,6,Obs,"0.37,0.56",0.82
10/20/2022,1858,7,Ortho,"0.34,0.48",0.83
10/20/2022,1858,9,FBC,,
10/26/2022,1865,1,Obs,"0.54,0.61",0.96
10/26/2022,1865,2,Ortho,"0.63,0.62",0.93
10/26/2022,1865,3,FBC,,
10/26/2022,1865,4,Obs,"0.42,0.42",0.98
10/27/2022,1866,1,Obs,"0.62,0.76",0.97
10/27/2022,1866,2,Ortho,"0.77,0.81",0.97
10/27/2022,1866,3,FBC,,
10/27/2022,1866,"4,5,6,7",Unst,,
10/27/2022,1866,8,Obs,"0.56,0.71",0.74
10/31/2022,1868,1,Obs,"0.61,0.71",0.96
10/31/2022,1868,2,Ortho,"0.56,0.5",0.98
10/31/2022,1868,3,FBC,,
10/31/2022,1868,"4,5,6,7,8,9",Unst,,
10/31/2022,1868,11,Obs,"0.65,0.75",0.97
11/3/2022,1871,1,Obs,"0.55,0.77",0.96
11/3/2022,1871,2,Ortho,"0.5,0.36",0.88
11/3/2022,1871,3,Ortho,"0.26,0.17",0.85
11/3/2022,1871,5,Obs,"0.42,0.64",0.95
11/3/2022,1871,6,Ortho,"0.41,0.64",0.89
11/3/2022,1871,8,FBC,,
11/7/2022,1877,1,Obs,0.54,0.93
11/7/2022,1877,3,Obs,"0.23,0.34",0.97
11/7/2022,1877,4,Ortho,"0.37,0.23",0.93
11/7/2022,1877,5,FBC,,
11/7/2022,1877,6,Obs,"0.22,0.23",0.96
11/21/2022,1880,1,Obs,"0.75,0.52",0.98
11/21/2022,1880,2,Ortho,"0.5,0.58",0.94
11/21/2022,1880,"3,4",FBC,,
11/21/2022,1880,5,FBC,,
11/21/2022,1880,"7,8",Unst,,
11/28/2022,1883,1,Obs,"0.71,0.63",0.94
11/28/2022,1883,2,Ortho,"0.4,0.29",0.88
11/28/2022,1883,3,FBC,,
11/28/2022,1883,6,FBC,,
11/28/2022,1883,9,Unst,,
11/28/2022,1883,10,Obs,"0.55,0.52",0.97
12/1/2022,1885,1,Obs,"0.6,0.64",0.97
12/1/2022,1885,2,Ortho,"0.82,0.71",0.91
12/1/2022,1885,3,FBC,,
12/1/2022,1885,"4,5,6",Unst,,
12/7/2022,1889,1,Obs,"0.71,0.68",0.94
12/7/2022,1889,2,Ortho,"0.84,0.76",0.98
12/7/2022,1889,4,FBC,,
12/7/2022,1889,5,Unst,,
12/7/2022,1889,8,Obs,"0.61,0.63",0.54
1/16/2023,1903,4,Obs,"0.56,0.7",0.95
1/16/2023,1903,5,Ortho,"0.83,0.87",0.75
1/16/2023,1903,6,FBC,,
1/16/2023,1903,8,Unst,,
1/16/2023,1903,9,Obs,"0.53,0.68",0.94
1/19/2023,1904,1,Obs,"0.65,0.75",0.95
1/19/2023,1904,2,Ortho,"0.84,0.63",0.9
1/19/2023,1904,3,FBC,,
1/19/2023,1904,"4,5",Unst,,
1/19/2023,1904,6,Obs,"0.73,0.7",0.96
1/25/2023,1905,1,Obs,"0.67,0.63",0.98
1/25/2023,1905,2,Ortho,"0.78,0.81",0.96
1/25/2023,1905,3,FBC,,
2/1/2023,1906,1,Obs,"0.45,0.35",0.95
2/1/2023,1906,2,Ortho,"0.45,0.55",0.86
2/1/2023,1906,5,FBC,,
2/1/2023,1906,6,Obs,NR,NR
2/2/2023,1908,1,Obs,"0.68,0.29",0.86
2/2/2023,1908,2,Ortho,"0.24,0.26",0.8
2/2/2023,1908,3,Obs,"0.73,0.57",0.93
2/2/2023,1908,4,Ortho,"0.52,0.54",0.81
2/2/2023,1908,"5,6",Unst,,
2/9/2023,1913,1,Obs,"0.71,0.67",0.92
2/9/2023,1913,2,Ortho,"0.66,0.43",0.83
2/9/2023,1913,3,FBC,,
2/13/2023,1914,1,Obs,"0.8,0.62",0.84
2/13/2023,1914,2,Ortho,"0.64,0.71",0.89
