Day,Session,Sets,Type,R2,Click
9/2/2022,147,1,Obs,0.65,0.9
9/2/2022,147,2,Ortho,0.81,0.93
9/2/2022,147,3,FBC,,
9/2/2022,147,7,Unst,,
9/2/2022,147,9,Obs,0.55,0.63
9/21/2022,72,3,Obs,0.59,0.83
9/21/2022,72,4,Ortho,0.75,0.86
9/21/2022,72,5,FBC,,
9/21/2022,72,6,Unst,,
10/14/2022,150,1,Obs,"0.77,0.84",0.94
10/14/2022,150,2,Ortho,"0.27,0.31",0.88
10/14/2022,150,3,FBC,,
10/14/2022,150,4,Unst,,
11/2/2022,89,3,Obs,"0.71,0.80",0.97
11/2/2022,89,4,Ortho,"0.79,0.86",0.96
11/2/2022,89,5,FBC,,
11/2/2022,89,6,Obs,"0.76,0.82",0.91
11/8/2022,95,1,Obs,"0.87,0.84",0.92
11/8/2022,95,2,Ortho,,
11/8/2022,95,3,FBC,,
12/8/2022,102,1,Obs,"0.80,0.77",0.93
12/8/2022,102,2,Ortho,"0.52,0.84",0.86
12/8/2022,102,3,FBC,,
12/8/2022,102,4,FBC,,
12/8/2022,102,5,Unst,,
12/8/2022,102,6,Obs,"0.78,0.82",0.97
1/6/2023,157,1,Obs,"0.68,0.71",0.88
1/6/2023,157,2,Ortho,"0.61,0.63",0.92
1/6/2023,157,3,FBC,,
1/6/2023,157,4,Unst,,
1/6/2023,157,5,Obs,"0.21,0.30",0.91
1/6/2023,157,6,Ortho,"0.01,0.00",0.39
1/27/2023,159,1,Obs,"0.82,0.81",0.96
1/27/2023,159,2,Ortho,"0.87,0.89",0.95
1/27/2023,159,3,FBC,,
1/27/2023,159,5,Obs,"0.81,0.86",0.91
2/21/2023,111,1,Obs,"0.87,0.85",0.96
2/21/2023,111,2,Ortho,,0.94
2/21/2023,111,3,FBC,,
2/21/2023,111,4,Unst,,
2/24/2023,161,1,Obs,"0.80,0.88",0.98
2/24/2023,161,2,Ortho,"0.89,0.91",0.94
2/24/2023,161,3,FBC,,
2/24/2023,161,4,Unst,,
2/24/2023,161,6,Obs,"0.83,0.89",0.98
2/25/2023,113,1,Obs,"0.84,0.86",0.95
2/25/2023,113,2,Ortho,"0.92,0.94",0.92
2/25/2023,113,3,FBC,,
2/25/2023,113,4,Obs,"0.83,0.87",0.98
2/28/2023,163,1,Obs,"0.84,0.88",0.98
2/28/2023,163,2,Ortho,"0.90,0.89",0.98
2/28/2023,163,3,FBC,,
2/28/2023,163,4,Obs,"0.63,0.41",0.79
